shipment_id,warehouse,supplier,category,lead_time_days,promised_lead_time,inventory_holding_cost,unit_order_quantity,stockout_flag,shipment_status
SHP-1062,WH-Delhi,Supp-C,Automotive,14,7,7509.91,327,0,Delayed
SHP-1063,WH-Delhi,Supp-A,Consumer Goods,8,6,7193.27,383,1,Delivered
SHP-1064,WH-Mumbai,Supp-B,Automotive,18,9,4515.92,230,0,Delivered
SHP-1065,WH-Bengaluru,Supp-C,Consumer Goods,11,9,3791.98,365,0,Delivered
SHP-1066,WH-Hyderabad,Supp-A,Consumer Goods,11,9,4277.32,31,0,Delayed
SHP-1067,WH-Delhi,Supp-C,Electronics,5,8,3010.62,189,1,Cancelled
SHP-1068,WH-Hyderabad,Supp-A,Industrial Parts,21,9,2450.66,445,0,Cancelled
SHP-1069,WH-Bengaluru,Supp-A,Automotive,5,7,5088.88,376,0,Delivered
SHP-1070,WH-Bengaluru,Supp-A,Electronics,23,5,3051.07,429,0,Delayed
SHP-1071,WH-Bengaluru,Supp-B,Automotive,8,9,3230.89,338,0,Delivered
SHP-1072,WH-Delhi,Supp-B,Consumer Goods,23,13,6739.18,240,0,Delivered
SHP-1073,WH-Bengaluru,Supp-C,Industrial Parts,2,13,9701.1,412,0,Delivered
SHP-1074,WH-Delhi,Supp-A,Automotive,13,8,6234.55,47,0,Delivered
SHP-1075,WH-Bengaluru,Supp-A,Automotive,14,7,1231.3,79,0,Cancelled
SHP-1076,WH-Hyderabad,Supp-B,Consumer Goods,11,5,1218.04,125,1,Delayed
SHP-1077,WH-Hyderabad,Supp-A,Automotive,16,6,9538.52,248,0,Delivered
SHP-1078,WH-Mumbai,Supp-B,Automotive,14,12,3324.26,344,1,Delivered
SHP-1079,WH-Hyderabad,Supp-A,Consumer Goods,24,5,1374.64,450,0,Delivered
SHP-1080,WH-Mumbai,Supp-C,Electronics,23,12,6190.92,157,0,Delayed
SHP-1081,WH-Hyderabad,Supp-A,Consumer Goods,23,11,6424.66,18,0,Delivered
SHP-1082,WH-Delhi,Supp-A,Electronics,22,12,6660.8,297,0,Delivered
SHP-1083,WH-Hyderabad,Supp-D,Industrial Parts,23,10,3040.32,397,1,Delivered
SHP-1084,WH-Mumbai,Supp-B,Electronics,10,13,643.55,59,0,Delivered
SHP-1085,WH-Mumbai,Supp-A,Electronics,10,7,9667.65,347,0,Delivered
SHP-1086,WH-Bengaluru,Supp-A,Industrial Parts,16,14,2883.48,14,0,Delayed
SHP-1087,WH-Delhi,Supp-D,Electronics,11,8,6922.25,413,0,Delivered
SHP-1088,WH-Hyderabad,Supp-D,Consumer Goods,11,10,7212.98,352,0,Delivered
SHP-1089,WH-Bengaluru,Supp-B,Electronics,9,12,6295.07,135,0,Delivered
SHP-1090,WH-Hyderabad,Supp-D,Industrial Parts,17,9,3472.62,84,0,Delivered
SHP-1091,WH-Hyderabad,Supp-C,Consumer Goods,18,7,3075.41,174,0,Cancelled
SHP-1092,WH-Bengaluru,Supp-D,Industrial Parts,6,10,6177.85,287,0,Delivered
SHP-1093,WH-Bengaluru,Supp-C,Industrial Parts,5,8,8727.91,451,0,Delivered
SHP-1094,WH-Bengaluru,Supp-B,Automotive,19,13,9493.97,333,0,Delivered
SHP-1095,WH-Bengaluru,Supp-B,Automotive,20,7,1506.11,486,0,Delivered
SHP-1096,WH-Bengaluru,Supp-B,Industrial Parts,5,8,1970.87,309,0,Delivered
SHP-1097,WH-Hyderabad,Supp-B,Industrial Parts,8,11,9474.99,299,0,Delivered
SHP-1098,WH-Bengaluru,Supp-B,Industrial Parts,11,11,7497.08,86,0,Delivered
SHP-1099,WH-Delhi,Supp-C,Automotive,19,8,8888.44,307,0,Delivered
SHP-1100,WH-Mumbai,Supp-C,Automotive,20,10,2425.01,146,1,Delivered
SHP-1101,WH-Bengaluru,Supp-B,Electronics,5,7,6082.07,115,0,Delivered
SHP-1102,WH-Bengaluru,Supp-D,Electronics,11,10,7160.83,104,0,Delivered
SHP-1103,WH-Hyderabad,Supp-A,Industrial Parts,2,6,6961.06,144,1,Delivered
SHP-1104,WH-Bengaluru,Supp-B,Consumer Goods,24,12,4377.44,77,0,Delayed
SHP-1105,WH-Bengaluru,Supp-D,Consumer Goods,19,6,646.25,156,0,Delayed
SHP-1106,WH-Bengaluru,Supp-A,Automotive,6,11,6037.8,499,1,Delivered
SHP-1107,WH-Hyderabad,Supp-B,Automotive,16,13,2904.46,487,0,Delivered
SHP-1108,WH-Bengaluru,Supp-B,Automotive,18,5,4777.42,168,0,Delivered
SHP-1109,WH-Mumbai,Supp-C,Industrial Parts,4,12,9597.02,393,0,Delivered
SHP-1110,WH-Hyderabad,Supp-A,Consumer Goods,13,11,4290.84,172,0,Delayed
SHP-1111,WH-Mumbai,Supp-A,Electronics,3,10,8478.12,450,0,Delivered
SHP-1112,WH-Hyderabad,Supp-D,Industrial Parts,2,10,2291.14,350,0,Delivered
SHP-1113,WH-Bengaluru,Supp-C,Electronics,24,10,6888.37,198,0,Delayed
SHP-1114,WH-Mumbai,Supp-C,Electronics,22,13,9781.57,424,0,Delayed
SHP-1115,WH-Hyderabad,Supp-C,Industrial Parts,18,6,1467.98,348,1,Delivered
SHP-1116,WH-Delhi,Supp-C,Electronics,23,5,579.04,104,0,Delivered
SHP-1117,WH-Bengaluru,Supp-A,Consumer Goods,17,10,4619.04,190,1,Delivered
SHP-1118,WH-Hyderabad,Supp-A,Electronics,6,14,1379.94,297,1,Delivered
SHP-1119,WH-Delhi,Supp-B,Consumer Goods,16,12,7609.65,331,0,Delayed
SHP-1120,WH-Hyderabad,Supp-B,Consumer Goods,4,7,9188.21,196,0,Delayed
SHP-1121,WH-Delhi,Supp-C,Consumer Goods,8,14,4623.2,381,0,Delayed
SHP-1122,WH-Bengaluru,Supp-C,Automotive,12,5,2957.76,147,1,Delivered
SHP-1123,WH-Mumbai,Supp-C,Electronics,11,13,4626.83,139,0,Delayed
SHP-1124,WH-Delhi,Supp-B,Industrial Parts,10,5,7372.75,203,0,Delivered
SHP-1125,WH-Hyderabad,Supp-D,Industrial Parts,15,7,586.01,325,0,Delivered
SHP-1126,WH-Bengaluru,Supp-D,Electronics,14,12,6099.81,481,0,Delivered
SHP-1127,WH-Delhi,Supp-B,Automotive,3,7,6326.27,282,0,Delivered
SHP-1128,WH-Hyderabad,Supp-B,Automotive,4,8,6558.04,361,0,Delayed
SHP-1129,WH-Hyderabad,Supp-B,Consumer Goods,8,12,2799.21,153,0,Delivered
SHP-1130,WH-Hyderabad,Supp-B,Electronics,22,5,7283.5,25,0,Delivered
SHP-1131,WH-Delhi,Supp-B,Electronics,19,10,1368.22,311,1,Delivered
SHP-1132,WH-Delhi,Supp-B,Industrial Parts,4,5,2393.07,432,0,Delivered
SHP-1133,WH-Delhi,Supp-C,Electronics,11,5,8835.97,254,1,Delivered
SHP-1134,WH-Mumbai,Supp-C,Automotive,23,12,7517.87,424,0,Delivered
SHP-1135,WH-Delhi,Supp-C,Electronics,8,8,630.58,116,0,Delayed
SHP-1136,WH-Delhi,Supp-C,Industrial Parts,10,5,2859.57,97,0,Delivered
SHP-1137,WH-Delhi,Supp-B,Consumer Goods,18,14,2536.86,138,0,Delivered
SHP-1138,WH-Mumbai,Supp-D,Industrial Parts,12,11,3072.66,404,1,Delivered
SHP-1139,WH-Delhi,Supp-A,Industrial Parts,8,9,2851.82,384,0,Delayed
SHP-1140,WH-Hyderabad,Supp-B,Consumer Goods,15,9,1094.0,350,1,Delivered
SHP-1141,WH-Delhi,Supp-A,Industrial Parts,20,5,4859.93,13,0,Delivered
SHP-1142,WH-Hyderabad,Supp-D,Industrial Parts,5,14,7460.97,336,0,Delivered
SHP-1143,WH-Hyderabad,Supp-C,Electronics,7,10,6263.95,419,0,Delivered
SHP-1144,WH-Hyderabad,Supp-D,Electronics,11,13,6892.28,376,0,Delivered
SHP-1145,WH-Mumbai,Supp-B,Consumer Goods,8,13,1270.92,315,0,Delivered
SHP-1146,WH-Mumbai,Supp-C,Electronics,14,12,9539.16,405,1,Delivered
SHP-1147,WH-Mumbai,Supp-B,Electronics,15,9,8465.67,104,0,Delivered
SHP-1148,WH-Delhi,Supp-C,Industrial Parts,5,5,8148.36,218,0,Delivered
SHP-1149,WH-Hyderabad,Supp-A,Automotive,9,13,8318.35,234,0,Delivered
SHP-1150,WH-Mumbai,Supp-A,Electronics,6,5,9360.75,468,0,Delivered
SHP-1151,WH-Mumbai,Supp-A,Automotive,2,12,5670.41,357,0,Delivered
SHP-1152,WH-Delhi,Supp-D,Electronics,5,9,2402.68,489,0,Delivered
SHP-1153,WH-Mumbai,Supp-B,Electronics,4,7,6359.44,330,0,Delivered
SHP-1154,WH-Delhi,Supp-D,Consumer Goods,10,11,7557.37,56,0,Delivered
SHP-1155,WH-Bengaluru,Supp-A,Consumer Goods,9,11,7510.22,485,0,Delayed
SHP-1156,WH-Mumbai,Supp-B,Consumer Goods,2,13,5453.77,190,0,Cancelled
SHP-1157,WH-Bengaluru,Supp-A,Automotive,7,11,1150.36,115,0,Delivered
SHP-1158,WH-Delhi,Supp-D,Industrial Parts,10,7,4025.57,208,0,Delivered
SHP-1159,WH-Hyderabad,Supp-D,Electronics,8,5,9247.28,395,0,Delivered
SHP-1160,WH-Mumbai,Supp-D,Electronics,5,12,6052.26,115,0,Delayed
SHP-1161,WH-Delhi,Supp-A,Electronics,14,7,5614.15,289,0,Delivered
SHP-1162,WH-Hyderabad,Supp-B,Automotive,18,12,3054.11,269,0,Delivered
SHP-1163,WH-Hyderabad,Supp-B,Consumer Goods,3,12,4000.26,117,0,Delayed
SHP-1164,WH-Bengaluru,Supp-A,Industrial Parts,6,9,9005.79,28,0,Delivered
SHP-1165,WH-Delhi,Supp-B,Automotive,13,5,6831.4,419,0,Delayed
SHP-1166,WH-Hyderabad,Supp-A,Consumer Goods,22,14,7980.18,468,0,Delivered
SHP-1167,WH-Mumbai,Supp-B,Automotive,9,11,4816.28,305,0,Delivered
SHP-1168,WH-Mumbai,Supp-C,Industrial Parts,7,14,6487.35,315,0,Delayed
SHP-1169,WH-Bengaluru,Supp-C,Consumer Goods,9,9,2859.64,180,1,Delivered
SHP-1170,WH-Hyderabad,Supp-D,Automotive,19,12,7201.88,340,0,Delivered
SHP-1171,WH-Delhi,Supp-C,Industrial Parts,4,13,4562.21,204,0,Delivered
SHP-1172,WH-Mumbai,Supp-C,Electronics,23,11,4704.18,21,0,Cancelled
SHP-1173,WH-Hyderabad,Supp-C,Industrial Parts,13,11,6668.56,204,1,Delivered
SHP-1174,WH-Hyderabad,Supp-A,Electronics,4,5,9394.67,499,0,Delivered
SHP-1175,WH-Bengaluru,Supp-C,Automotive,23,8,1108.06,292,1,Delivered
SHP-1176,WH-Mumbai,Supp-C,Consumer Goods,7,6,8335.06,378,0,Delivered
SHP-1177,WH-Mumbai,Supp-D,Consumer Goods,3,6,3277.64,191,0,Delivered
SHP-1178,WH-Delhi,Supp-C,Automotive,24,6,4717.23,459,0,Delivered
SHP-1179,WH-Mumbai,Supp-C,Consumer Goods,13,8,708.18,314,0,Delivered
SHP-1180,WH-Delhi,Supp-B,Consumer Goods,3,5,3359.94,153,1,Delayed
SHP-1181,WH-Mumbai,Supp-D,Electronics,7,8,5275.0,395,0,Delivered
SHP-1182,WH-Bengaluru,Supp-D,Automotive,18,6,1033.67,325,0,Delivered
SHP-1183,WH-Mumbai,Supp-D,Industrial Parts,4,9,5165.41,191,0,Delayed
SHP-1184,WH-Delhi,Supp-D,Electronics,3,7,9307.55,39,0,Delivered
SHP-1185,WH-Delhi,Supp-D,Automotive,24,12,1501.24,93,0,Delayed
SHP-1186,WH-Bengaluru,Supp-D,Electronics,21,8,7762.19,175,0,Delivered
SHP-1187,WH-Mumbai,Supp-A,Industrial Parts,9,5,4391.88,293,1,Delivered
SHP-1188,WH-Mumbai,Supp-C,Industrial Parts,23,5,6724.15,290,0,Delivered
SHP-1189,WH-Bengaluru,Supp-D,Automotive,13,14,2972.25,105,0,Delivered
SHP-1190,WH-Mumbai,Supp-C,Industrial Parts,5,7,2015.18,390,0,Delivered
SHP-1191,WH-Mumbai,Supp-C,Electronics,6,13,2024.39,275,0,Delivered
SHP-1192,WH-Delhi,Supp-A,Industrial Parts,14,11,1169.67,453,0,Delayed
SHP-1193,WH-Mumbai,Supp-D,Electronics,16,6,2263.64,307,1,Delivered
SHP-1194,WH-Mumbai,Supp-B,Electronics,24,13,6810.08,305,0,Delivered
SHP-1195,WH-Bengaluru,Supp-A,Industrial Parts,17,14,8876.06,234,0,Delivered
SHP-1196,WH-Bengaluru,Supp-B,Automotive,11,6,8234.19,342,0,Cancelled
SHP-1197,WH-Hyderabad,Supp-C,Consumer Goods,24,7,7008.78,370,1,Delivered
SHP-1198,WH-Delhi,Supp-C,Industrial Parts,17,14,1549.1,383,0,Delivered
SHP-1199,WH-Mumbai,Supp-A,Electronics,13,6,3247.28,51,0,Delivered
SHP-1200,WH-Mumbai,Supp-A,Electronics,18,7,3443.17,312,0,Delivered
SHP-1201,WH-Hyderabad,Supp-B,Industrial Parts,17,10,2874.59,430,0,Delivered
SHP-1202,WH-Mumbai,Supp-D,Automotive,13,13,5392.55,255,0,Delayed
SHP-1203,WH-Delhi,Supp-B,Automotive,9,13,5587.76,217,0,Delivered
SHP-1204,WH-Hyderabad,Supp-A,Electronics,21,11,3890.42,246,0,Delayed
SHP-1205,WH-Delhi,Supp-B,Electronics,4,7,3861.0,31,0,Delivered
SHP-1206,WH-Hyderabad,Supp-A,Automotive,17,8,8371.28,194,0,Delivered
SHP-1207,WH-Hyderabad,Supp-B,Consumer Goods,14,10,7998.28,477,0,Delayed
SHP-1208,WH-Bengaluru,Supp-A,Industrial Parts,24,9,3424.06,251,0,Delivered
SHP-1209,WH-Delhi,Supp-A,Electronics,20,6,9180.99,372,0,Cancelled
SHP-1210,WH-Mumbai,Supp-A,Electronics,9,10,9551.74,292,0,Delivered
SHP-1211,WH-Mumbai,Supp-D,Automotive,23,7,3604.05,50,0,Delayed
SHP-1212,WH-Delhi,Supp-B,Industrial Parts,6,12,3867.04,345,0,Delivered
SHP-1213,WH-Mumbai,Supp-B,Automotive,21,6,5303.52,171,0,Delivered
SHP-1214,WH-Mumbai,Supp-B,Industrial Parts,9,5,9440.65,169,0,Delivered
SHP-1215,WH-Delhi,Supp-A,Industrial Parts,13,13,8825.03,483,1,Delivered
SHP-1216,WH-Hyderabad,Supp-B,Industrial Parts,2,7,1474.4,98,0,Delivered
SHP-1217,WH-Delhi,Supp-B,Electronics,22,5,4230.94,331,1,Delivered
SHP-1218,WH-Hyderabad,Supp-A,Consumer Goods,21,11,5757.03,21,0,Delivered
SHP-1219,WH-Mumbai,Supp-C,Automotive,7,14,5279.76,433,0,Delivered
SHP-1220,WH-Mumbai,Supp-A,Consumer Goods,23,9,2341.7,82,0,Delayed
SHP-1221,WH-Mumbai,Supp-B,Automotive,19,9,8658.76,85,0,Delivered
SHP-1222,WH-Bengaluru,Supp-A,Industrial Parts,9,5,6930.94,355,0,Delivered
SHP-1223,WH-Hyderabad,Supp-C,Electronics,8,13,8460.13,210,0,Delivered
SHP-1224,WH-Bengaluru,Supp-A,Consumer Goods,2,11,8658.26,19,1,Delivered
SHP-1225,WH-Bengaluru,Supp-B,Electronics,22,12,7609.38,361,0,Delivered
SHP-1226,WH-Delhi,Supp-C,Automotive,17,13,4672.5,235,0,Delivered
SHP-1227,WH-Bengaluru,Supp-D,Electronics,13,10,6300.19,185,0,Delayed
SHP-1228,WH-Delhi,Supp-B,Electronics,7,9,2023.47,285,0,Delayed
SHP-1229,WH-Delhi,Supp-C,Consumer Goods,21,10,6899.63,48,0,Delivered
SHP-1230,WH-Bengaluru,Supp-C,Industrial Parts,3,6,2202.91,69,0,Delivered
SHP-1231,WH-Hyderabad,Supp-D,Electronics,15,8,7092.52,75,1,Delivered
SHP-1232,WH-Hyderabad,Supp-A,Industrial Parts,5,7,2681.18,330,0,Delivered
SHP-1233,WH-Hyderabad,Supp-A,Automotive,2,11,1616.74,444,0,Delivered
SHP-1234,WH-Hyderabad,Supp-B,Electronics,24,13,2070.2,133,0,Delivered
SHP-1235,WH-Hyderabad,Supp-D,Consumer Goods,19,9,518.93,173,0,Delivered
SHP-1236,WH-Bengaluru,Supp-A,Automotive,14,10,7328.03,417,0,Delivered
SHP-1237,WH-Bengaluru,Supp-D,Automotive,3,14,7457.81,420,0,Delivered
SHP-1238,WH-Mumbai,Supp-A,Consumer Goods,10,6,5391.87,395,0,Delayed
SHP-1239,WH-Hyderabad,Supp-C,Electronics,22,7,2032.95,168,0,Delivered
SHP-1240,WH-Bengaluru,Supp-A,Electronics,3,7,1293.77,66,0,Delayed
SHP-1241,WH-Mumbai,Supp-D,Automotive,10,13,681.73,87,1,Cancelled
SHP-1242,WH-Hyderabad,Supp-C,Electronics,2,11,2074.61,203,0,Delivered
SHP-1243,WH-Delhi,Supp-C,Industrial Parts,12,12,8963.13,294,0,Delivered
SHP-1244,WH-Mumbai,Supp-C,Consumer Goods,4,14,2794.6,24,0,Delivered
SHP-1245,WH-Bengaluru,Supp-D,Industrial Parts,21,13,3865.58,21,0,Cancelled
SHP-1246,WH-Delhi,Supp-B,Electronics,24,10,1500.78,110,0,Cancelled
SHP-1247,WH-Delhi,Supp-B,Automotive,5,8,2612.43,165,0,Delivered
SHP-1248,WH-Delhi,Supp-B,Consumer Goods,19,5,5432.63,349,0,Delivered
SHP-1249,WH-Mumbai,Supp-D,Electronics,24,12,6273.65,134,0,Delayed
SHP-1250,WH-Bengaluru,Supp-C,Electronics,7,11,2830.85,368,0,Delivered
SHP-1251,WH-Delhi,Supp-B,Automotive,4,6,1048.46,289,0,Delayed
SHP-1252,WH-Hyderabad,Supp-D,Automotive,23,12,4214.81,414,1,Delayed
SHP-1253,WH-Delhi,Supp-B,Industrial Parts,12,9,2724.93,403,1,Delivered
SHP-1254,WH-Delhi,Supp-A,Consumer Goods,16,11,2585.76,119,0,Delivered
SHP-1255,WH-Mumbai,Supp-B,Consumer Goods,23,8,9618.7,343,0,Delivered
SHP-1256,WH-Mumbai,Supp-B,Automotive,6,9,6354.85,366,0,Delivered
SHP-1257,WH-Bengaluru,Supp-C,Industrial Parts,21,12,5790.35,155,1,Delivered
SHP-1258,WH-Hyderabad,Supp-D,Consumer Goods,11,5,4449.86,225,0,Delayed
SHP-1259,WH-Mumbai,Supp-C,Automotive,13,5,4574.97,407,1,Delayed
SHP-1260,WH-Delhi,Supp-C,Electronics,16,8,5638.6,171,0,Delayed
SHP-1261,WH-Bengaluru,Supp-C,Consumer Goods,18,7,7116.08,137,0,Delivered
SHP-1262,WH-Delhi,Supp-C,Industrial Parts,11,14,7170.39,323,0,Delayed
SHP-1263,WH-Delhi,Supp-C,Industrial Parts,7,6,2131.09,341,1,Delivered
SHP-1264,WH-Mumbai,Supp-B,Industrial Parts,19,7,5251.07,159,1,Delivered
SHP-1265,WH-Bengaluru,Supp-C,Electronics,14,5,4413.6,463,0,Delivered
SHP-1266,WH-Hyderabad,Supp-C,Consumer Goods,4,5,8770.01,45,0,Delivered
SHP-1267,WH-Hyderabad,Supp-D,Consumer Goods,11,10,6498.48,182,0,Delayed
SHP-1268,WH-Mumbai,Supp-A,Electronics,15,9,5558.79,429,0,Delivered
SHP-1269,WH-Mumbai,Supp-B,Consumer Goods,7,12,1596.25,31,0,Delivered
SHP-1270,WH-Bengaluru,Supp-B,Electronics,4,6,6253.56,215,0,Delivered
SHP-1271,WH-Hyderabad,Supp-B,Electronics,17,8,1613.44,136,0,Delivered
SHP-1272,WH-Hyderabad,Supp-C,Electronics,8,12,3703.46,345,0,Delivered
SHP-1273,WH-Hyderabad,Supp-C,Industrial Parts,21,10,1857.0,454,0,Delivered
SHP-1274,WH-Delhi,Supp-C,Consumer Goods,15,5,7074.7,365,0,Delivered
SHP-1275,WH-Hyderabad,Supp-D,Electronics,10,8,2459.4,449,0,Delivered
SHP-1276,WH-Delhi,Supp-A,Consumer Goods,16,5,4222.66,226,0,Delayed
SHP-1277,WH-Bengaluru,Supp-C,Industrial Parts,22,6,9008.91,105,0,Delivered
SHP-1278,WH-Delhi,Supp-A,Electronics,4,9,2441.01,426,0,Delivered
SHP-1279,WH-Bengaluru,Supp-D,Automotive,3,12,5324.15,438,0,Delivered
SHP-1280,WH-Hyderabad,Supp-B,Industrial Parts,3,12,4483.08,173,0,Delivered
SHP-1281,WH-Hyderabad,Supp-C,Automotive,4,7,672.18,157,0,Delivered
SHP-1282,WH-Bengaluru,Supp-A,Consumer Goods,19,8,8031.2,27,0,Delivered
SHP-1283,WH-Mumbai,Supp-A,Consumer Goods,15,14,1155.94,303,0,Delayed
SHP-1284,WH-Bengaluru,Supp-C,Industrial Parts,21,10,5005.42,204,1,Delivered
SHP-1285,WH-Mumbai,Supp-B,Consumer Goods,19,14,5826.44,160,1,Delayed
SHP-1286,WH-Delhi,Supp-B,Automotive,11,7,6470.05,489,0,Cancelled
SHP-1287,WH-Delhi,Supp-B,Electronics,3,6,7042.0,374,0,Delivered
SHP-1288,WH-Delhi,Supp-D,Electronics,23,10,2906.09,132,0,Delivered
SHP-1289,WH-Hyderabad,Supp-A,Electronics,2,9,594.8,409,1,Delivered
SHP-1290,WH-Delhi,Supp-A,Industrial Parts,5,14,7372.71,196,0,Cancelled
SHP-1291,WH-Mumbai,Supp-A,Consumer Goods,15,9,5588.74,462,0,Delayed
SHP-1292,WH-Delhi,Supp-D,Automotive,2,14,8443.12,461,0,Delivered
SHP-1293,WH-Bengaluru,Supp-A,Consumer Goods,15,9,8303.19,158,0,Delayed
SHP-1294,WH-Bengaluru,Supp-D,Consumer Goods,17,14,8511.6,113,0,Delivered
SHP-1295,WH-Hyderabad,Supp-B,Consumer Goods,23,9,5108.4,252,0,Cancelled
SHP-1296,WH-Bengaluru,Supp-C,Electronics,15,7,3669.47,471,0,Cancelled
